Electricity,ID #
"CECG Maine, LLC",4166
"CECG Maine, LLC (Maine)",4166
CL Power Sales Eight LLC,3570
CMS Electric Coop Inc,2774
CMS Energy Resource Management Corp,3991
CP Power Sales Seventeen LLC,2842
CPKelco U S Inc,3221
"CPL Retail Energy, LP",13151
"Caddo Electric Coop, Inc",3390
Cairo Public Utility Company,2776
Calhoun County Elec Coop Assn,4040
California Department of Water Resources,3255
Callaway Electric Cooperative,4160
Calpine Corp-Agnews,2871
Calpine Energy Services LP,2857
Calpine Power America LLC,2830
Calpine Power America LLC (California),2830
Calpine Power America LLC (Maine),2830
Calpine Power Management LLC,49824
"Cam Wal Electric Coop, Inc",2986
"Canadian Valley Elec Coop, Inc",2911
Canby Utility Board,2955
"Caney Fork Electric Coop, Inc",2960
"Caney Valley El Coop Assn, Inc",2961
Cannelton Utilities,2964
Canoochee Electric Member Corp,2903
Canton Municipal Utilities,2974
Cape Hatteras Elec Member Corp,2982
"Capital Electric Coop, Inc",2985
"Carbon Power & Light, Inc",2998
Cardinal Cogen Inc,3030
Cargill Power Markets LLC,2481
Carroll County (Utility Company),3075
Carroll County REMC,3086
Carroll Electric Coop Corp,3093
"Carroll Electric Coop, Inc",3076
Carroll Electric Member Corp,3081
Carrollton Board of Public Wks,3082
Carteret-Craven El Member Corp,3107
Cascade Municipal Utilities,3137
Cass County Electric Coop Inc,24949
Cass Electric Coop,3111
"Cavalier Rural Elec Coop, Inc",3138
Cedar Falls Utilities,3203
Cedar-Knox Public Power Dist,3205
Cedarburg Light & Water Comm,3208
CenterPoint Energy,8901
Central Alabama Electric Coop,3222
Central Electric Coop Inc,3240
"Central Electric Coop, Inc",3236
"Central Electric Coop, Inc (Pennsylvania)",40224
Central Electric Membership Corporation,3250
Central Electric Power Assn,2849
Central Electric Power Coop,3242
"Central Electric Pwr Coop, Inc",40218
"Central Florida Elec Coop, Inc",3245
Central Georgia El Member Corp,3248
Central Hudson Gas & Elec Corp,3249
Central Iowa Power Cooperative,3258
Central Lincoln People's Utility District,3264
Central Maine Power Co,3266
Central Minnesota Municipal Power Agency,3519
Central Missouri Elec Coop Inc,3268
Central Montana E Pwr Coop Inc,40301
Central Nebraska Pub P&I Dist,3271
"Central New Mexico El Coop, Inc",3273
"Central Power Elec Coop, Inc",3279
"Central Rural Electric Cooperative, Inc",3226
"Central Texas Elec Coop, Inc",3282
"Central Valley Elec Coop, Inc",3287
Central Vermont Pub Serv Corp,3292
Central Virginia Electric Coop,3291
Central Wisconsin Elec Coop,3293
Champion Energy Services,54862
Champion Energy Services (Illinois),54862
Champion Energy Services (Ohio),54862
Champion Energy Services (Pennsylvania),54862
Channel Energy Center,3370
"Chariton Valley Elec Coop, Inc",3314
"Charles Mix Electric Assn, Inc",3315
Cherokee County Elec Coop Assn,3470
Cherokee Electric Coop,3426
"Cherry-Todd Electric Coop, Inc",3435
Cherryland Electric Coop Inc,3436
