,county_name,state_id,Electricity
97,Ashe,NC,{'Blue Ridge Elec Member Corp - (NC)'}
98,Ashland,OH,"{'Ohio Edison Co', 'Licking Rural Electric Inc', 'Ohio Power Co', 'Lorain-Medina R E C, Inc', 'Firelands Electric Coop, Inc', 'Holmes-Wayne Electric Coop Inc'}"
99,Ashland,WI,"{'North Central Power Co Inc', 'Price Electric Coop Inc', 'Northern States Power Co', 'Bayfield Electric Coop, Inc'}"
100,Ashley,AR,"{'Entergy Arkansas Inc', 'Ashley Chicot Elec Coop, Inc'}"
101,Ashtabula,OH,"{'Ohio Edison Co', 'Cleveland Electric Illum Co'}"
102,Asotin,WA,"{'Inland Power & Light Company', 'PUD No 1 of Asotin County', 'Clearwater Power Company', 'Avista Corp'}"
103,Assumption,LA,"{'South Louisiana Elec Coop Assn', 'Entergy Louisiana LLC'}"
104,Atascosa,TX,"{'Medina Electric Coop, Inc', 'South Texas Electric Coop, Inc', 'Karnes Electric Coop Inc', 'City of San Antonio - (TX)', 'AEP Texas Central Company'}"
105,Atchison,KS,"{'City of Muscotah', 'Leavenworth-Jefferson E C, Inc', 'Brown-Atchison E C A Inc', 'Westar Energy Inc', 'Doniphan Elec Coop Assn, Inc', 'City of Horton - (KS)'}"
106,Atchison,MO,"{'Atchison-Holt Electric Coop', 'KCP&L Greater Missouri Operations Co.', 'City of Rockport - (MO)', 'United Electric Coop, Inc - (MO)'}"
107,Athens,OH,"{'Village of Glouster - (OH)', 'Ohio Power Co', 'Buckeye Rural Elec Coop, Inc', 'Washington Electric Coop - (OH)'}"
108,Atkinson,GA,"{'Satilla Rural Elec Member Corporation', 'Georgia Power Co'}"
109,Atlantic,NJ,{'Atlantic City Electric Co'}
110,Atoka,OK,"{'Kiamichi Electric Coop, Inc', 'Choctaw Electric Coop Inc', ""People's Electric Cooperative"", 'Southeastern Electric Coop Inc - (OK)', 'Public Service Co of Oklahoma', 'Oklahoma Gas & Electric Co'}"
111,Attala,MS,"{'East Mississippi Elec Pwr Assn', 'Central Electric Power Assn - (MS)', 'Delta Electric Power Assn', 'City of Kosciusko - (MS)', 'Entergy Mississippi Inc'}"
112,Audrain,MO,"{'Consolidated Electric Coop', 'City of Vandalia - (MO)', 'Union Electric Co - (MO)', 'Callaway Electric Cooperative', 'Boone Electric Coop', 'Ralls County Electric Coop'}"
113,Audubon,IA,"{'Guthrie County Rural E C A', 'Western Iowa Power Coop', 'WAPA-- Western Area Power Administration', 'City of Kimballton - (IA)', 'Raccoon Valley Electric Cooperative', 'MidAmerican Energy Co', 'Nishnabotna Valley R E C', 'Farmers Electric Coop, Inc - (IA)', 'Atlantic Municipal Utilities'}"
114,Auglaize,OH,"{'Ohio Power Co', 'City of St Marys - (OH)', 'City of Wapakoneta - (OH)', 'Village of Waynesfield - (OH)', 'Village of New Bremen - (OH)', 'Pioneer Rural Elec Coop, Inc - (OH)', 'Dayton Power & Light Co', 'Mid-Ohio Energy Coop, Inc', 'Midwest Electric, Inc', 'Village of New Knoxville - (OH)', 'City of Celina - (OH)', 'Village of Minster - (OH)'}"
115,Augusta,VA,"{'Central Virginia Electric Coop', 'BARC Electric Coop Inc', 'Virginia Electric & Power Co'}"
116,Aurora,SD,"{'Central Electric Coop, Inc - (SD)', 'WAPA-- Western Area Power Administration', 'City of Plankinton - (SD)', 'NorthWestern Energy - (SD)', 'Douglas Electric Coop, Inc'}"
117,Austin,TX,"{'CenterPoint Energy', 'Bluebonnet Electric Coop, Inc', 'City of Bellville - (TX)', 'Fayette Electric Coop, Inc', 'San Bernard Electric Coop, Inc'}"
118,Autauga,AL,"{'Alabama Power Co', 'Central Alabama Electric Coop', 'Pioneer Electric Coop, Inc - (AL)'}"
119,Avery,NC,"{'Blue Ridge Elec Member Corp - (NC)', 'Mountain Electric Coop, Inc', 'Duke Energy Progress - (NC)'}"
120,Avoyelles,LA,"{'Cleco Power LLC', 'Entergy Louisiana LLC', 'Southwest Louisiana E M C'}"
121,Baca,CO,"{'Public Service Co of Colorado', 'City of Springfield - (CO)', 'Tri-County Electric Coop, Inc', 'Southeast Colorado Power Assn'}"
122,Bacon,GA,"{'Satilla Rural Elec Member Corporation', 'Georgia Power Co'}"
123,Bailey,TX,"{'Bailey County Elec Coop Assn', 'Lamb County Electric Coop, Inc', 'Southwestern Public Service Co'}"
124,Baker,FL,"{'Clay Electric Cooperative, Inc', 'Florida Power & Light Co', 'Okefenoke Rural El Member Corp'}"
125,Baker,GA,"{'Georgia Power Co', 'Mitchell Electric Member Corp'}"
126,Baker,OR,"{'Oregon Trail El Cons Coop, Inc', 'Idaho Power Co'}"
127,Baldwin,AL,"{'City of Fairhope - (AL)', 'City of Robertsdale', 'Baldwin County El Member Corp', 'Alabama Power Co', 'Southern Pine Elec Coop, Inc', 'Foley Board of Utilities'}"
128,Baldwin,GA,"{'Oconee Electric Member Corp', 'Tri-County Elec Member Corp', 'Georgia Power Co', 'Washington Elec Member Corp'}"
129,Ballard,KY,"{'Kentucky Utilities Co', 'Jackson Purchase Energy Corporation'}"
130,Baltimore,MD,{'Baltimore Gas & Electric Co'}
131,Baltimore City,MD,{'Baltimore Gas & Electric Co'}
132,Bamberg,SC,"{'South Carolina Electric&Gas Company', 'Coastal Electric Coop, Inc', 'Edisto Electric Coop, Inc', 'Bamberg Board of Public Works'}"
133,Bandera,TX,"{'City of San Antonio - (TX)', 'Bandera Electric Coop, Inc'}"
134,Banks,GA,"{'Hart Electric Member Corp', 'Georgia Power Co', 'Jackson Electric Member Corp - (GA)'}"
135,Banner,NE,"{'Wheat Belt Public Power Dist', 'High West Energy, Inc', 'WAPA-- Western Area Power Administration', 'Chimney Rock Public Power Dist', 'Wyrulec Company', 'Roosevelt Public Power Dist'}"
136,Bannock,ID,"{'Idaho Power Co', 'PacifiCorp'}"
137,Baraga,MI,"{'Village of Baraga - (MI)', 'Upper Peninsula Power Company', 'WPPI Energy', 'Ontonagon County R E A', ""Village of L'Anse - (MI)"", 'Wisconsin Electric Power Co'}"
138,Barber,KS,"{'Alfalfa Electric Coop, Inc', 'City of Isabel - (KS)', 'City of Kiowa - (KS)', 'Ninnescah Rural E C A Inc', 'CMS Electric Coop Inc', 'Southern Pioneer Electric Company'}"
139,Barbour,AL,"{'Alabama Power Co', 'Dixie Electric Coop', 'Pea River Electric Coop', 'Tallapoosa River Elec Coop Inc'}"
140,Barbour,WV,"{'Monongahela Power Co', 'Philippi Municipal Electric', 'Harrison Rural Elec Assn, Inc'}"
